Accession	Description	Extended.Description	Organism	No..Samples	Platform	GEO.SRA	FTP	SampleType	Disease	Normal_samples	COPD_samples	NonCOPD_samples	Additional_treatment	Notes
GSE107971	RNA sequencing of human bronchial epithelial cell transcriptomes after repopulation and differentiation on bronchial scaffolds from COPD patients and healthy donors	(Submitter supplied) Chronic obstructive pulmonary disease (COPD) is a serious global health problem characterized by chronic airway inflammation, progressive airflow limitation and destruction of lung parenchyma. Remodeling of the bronchial airways in COPD includes changes in both the bronchial epithelium and the subepithelial extracellular matrix (ECM). To explore the impact of an aberrant ECM on epithelial cell phenotype in COPD we developed a new ex vivo model, in which normal human bronchial epithelial (NHBE) cells repopulate and differentiate on decellularized human bronchial scaffolds derived from COPD patients and healthy individuals. more..	Homo sapiens	36	GPL18573	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE107nnn/GSE107971/	EPITHELIUM	COPD	NORMAL OR CONTROL?	18	18	NA	
GSE63127	Cigarette smoking induces changes in airway epithelial expression of genes associated with monogenic lung disorders	(Submitter supplied) Smoking-induced lung disease is one of the most prevalent forms of lung disease but  also one of the more diverse. Based on the phenotypic diversity caused by the same environmental stress, we hypothesized that smoking may induce changes in lung cell expression of genes that, with specific variants, are causative of monogenic lung disease, i.e., not that smoking induces a phenocopy of a genetic disease, but smoking may subtly modify the expression of genes known to be associated with genetic disorders with distinct lung disease phenotypes. more..	Homo sapiens	230	GPL570	CEL, CHP	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE63nnn/GSE63127/	EPITHELIUM	NA	NA	NA	230	Yes: smoke cigarrete	
GSE18385	Smoking-induced Up-regulation of AKR1B10 Expression in the Airway Epithelium of Healthy Individuals	(Submitter supplied) The aldokatoreductases (AKRs) represent a gene superfamily that code for monomeric, soluble NAD(P)H-dependent oxidoreductases that mediate elimination reactions. AKR1B10, an AKR that functions to eliminate retinals, has been observed to be upregulated in squamous metaplasma and non small cell lung cancer, and has been suggested as a diagnostic marker specific to tobacco-related carcinogenesis. In the context of the link of smoking and lung cancer and the enhanced expression of AKR1B10 expression in lung cancer, we hypothesize that enhanced expression of AKR1B10 may be initiated in healthy smokers, prior to the development of any evidence of lung cancer. more..	Homo sapiens	161	GPL570	CEL, CHP	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE18nnn/GSE18385/	EPITHELIUM	NA	NORMAL	NA	161	NA	Expression of AKR1B10
GSE70909	The impact of oil spill to lung health – insights from an RNA-seq study of human airway epithelial cells	(Submitter supplied) To reveal the potential effects of oil and oil dispersants on the respiratory system at the molecular level, we evaluated the transcriptomic profile of human airway epithelial cells grown under treatment of crude oil, the dispersants Corexit 9500 and Corexit 9527 and oil-dispersant mixtures. We identified a very strong effect of Corexit 9500 treatment, with 84 genes (response genes) differentially expressed in treatment vs. more..	Homo sapiens	18	GPL16791	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE70nnn/GSE70909/	EPITHELIUM	NA	CONTROL	NA	18	Yes: oil spil	
GSE64614	Distal-to-Proximal Re-patterning of Small Airway Epithelium in Smoking-associated Chronic Obstructive Pulmonary Disease	(Submitter supplied) The proximal-distal patterning program determines unique structural and functional properties of proximal and distal airways in the adult lung. Based on the knowledge that remod-eling of distal airways is the major pathologic feature of chronic obstructive pulmonary disease (COPD), and that small airway epithelium (SAE), which covers distal airways, is the primary site of the initial smoking-induced changes relevant to COPD pathogenesis, we hypothesized that in COPD smokers, the SAE transcriptome loses its region-specific biologic identity and takes on the transcriptional pattern of the proximal airways. more..	Homo sapiens	221	GPL570	CEL, CHP	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE64nnn/GSE64614/	EPITHELIUM	COPD	NORMAL	36	185	NA	Distal-proximal re pattering
GSE79315	Airway epithelial cells obtained via bronchoscopy from high risk subjects with and without bronchial premalignant lesions	(Submitter supplied) This SuperSeries is composed of the SubSeries listed below	Homo sapiens	133	GPL16791	NA	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE79nnn/GSE79315/	EPITHELIUM	COPD_DYSPLASIA	CONTROL	59	74	NA	Premalignant lessions
GSE79210	Airway epithelial cells from high-risk subjects obtained via multiple bronchoscopy procedures to follow bronchial premalignant lesions as part of lung cancer screening	(Submitter supplied) While lung cancer is the leading cause of cancer death in the US, we have a limited understanding of the earliest molecular events preceding the onset of disease. Prior work has demonstrated that cigarette smoke creates a molecular “field of injury” throughout the airway epithelium and that there are distinct alterations in the airway transcriptome among smokers who have lung cancer. Molecular characterization of this airway “field of injury” in current and former smokers with premalignant lesions (PMLs) could provide novel insights into the earliest molecular events associated with lung carcinogenesis and identify relatively accessible biomarkers to guide lung cancer detection and early intervention. more..	Homo sapiens	51	GPL16791	TSV	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE79nnn/GSE79210/	EPITHELIUM	COPD_CANCER	CONTROL	34	17	NA	
GSE79209	Airway epithelial cells from smokers with and without bronchial premalignant lesions	(Submitter supplied) While lung cancer is the leading cause of cancer death in the US, we have a limited understanding of the earliest molecular events preceding the onset of disease. Prior work has demonstrated that cigarette smoke creates a molecular “field of injury” throughout the airway epithelium and that there are distinct alterations in the airway transcriptome among smokers who have lung cancer. Molecular characterization of this airway “field of injury” in current and former smokers with premalignant lesions (PMLs) could provide novel insights into the earliest molecular events associated with lung carcinogenesis and identify relatively accessible biomarkers to guide lung cancer detection and early intervention. more..	Homo sapiens	82	GPL16791	TSV	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE79nnn/GSE79209/	EPITHELIUM	CANCER	NORMAL	19	63	Yes: smoke cigarrete	Premalignant lessions
GSE34450	Genes Associated with MUC5AC Expression in the Human Airway Epithelium	(Submitter supplied) To help define the genes associated with mucus synthesis and secretion in the human small airway epithelium, we hypothesized that comparison of the transcriptomes of the small airway epithelium of individuals that express high vs low levels of MUC5AC, a major secretory mucin and the major component of airway mucus, could be used as a probe to identify the genes related to human small airway mucus production / secretion. more..	Homo sapiens	132	GPL570	CEL, CHP, TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE34nnn/GSE34450/	EPITHELIUM	COPD	NORMAL	NA	132	NA	MUC5AC expression
GSE17905	Smoking-mediated Up-regulation of GAD67 Expression in the Human Airway Epithelium	(Submitter supplied) Gamma-aminobutyric acid (GABA) is a multifunctional mediator that functions as a neurotransmitter in the central nervous system and a trophic factor during nervous system development, affecting proliferation, differentiation and cell death [1-3].GABA is synthesized from glutamate, catalyzed by GAD65 and GAD67, glutamic acid decarboxylase {Tillakaratne, Medina-Kauwe, et al. 1995 21 /id}{Owens & Kriegstein 2002 3 /id}{Watanabe, Maemura, et al. more..	Homo sapiens	157	GPL570	CEL, CHP	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE17nnn/GSE17905/	EPITHELIUM		NORMAL	NA	157	NA	Expression of GAD67
GSE66627	Cross-species transcriptome profiling identifies new alveolar epithelial type I cell-specific genes	(Submitter supplied) Diseases involving the distal lung alveolar epithelium include chronic obstructive pulmonary disease (COPD), idiopathic pulmonary fibrosis (IPF) and lung adenocarcinoma. Accurate labeling of specific cell types is critical for determining the contribution of each to pathogenesis of these diseases. The distal lung alveolar epithelium is comprised of two cell types, alveolar epithelial type 1 (AT1) and type 2 (AT2) cells. more..	Homo sapiens	4	GPL11154	BW	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE66nnn/GSE66627/	EPITHELIUM	COPD_IPF_ADENOCARCINOMA	NA	NA	4	NA	
GSE87098	Expression data of mucociliated human airway epithelia on-chip with or without exposure to whole cigarette smoke under physiological breathing	(Submitter supplied) Smoking represents a major risk factor for chronic obstructive pulmonary disease (COPD), but it is difficult to characterize smoke-induced injury responses under physiological breathing conditions in humans. Here we generated small airway-on-a-chip microdevices lined by living human bronchiolar epithelium from normal or COPD patients and connected them to an instrument that 'breathes' whole cigarette smoke in and out of the chips to study smoke-induced pathophysiology in vitro. more..	Homo sapiens	15	GPL16686	CEL	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE87nnn/GSE87098/	EPITHELIUM	COPD	NORMAL	8	7	Yes: smoke cigarrete	
GSE57073	Irp2 mediates cigarette smoke-induced bronchitis and emphysema via regulation of cytochrome c oxidase and mitochondrial iron loading	(Submitter supplied) Chronic obstructive pulmonary disease (COPD), the fourth leading cause of death globally, is influenced by both cigarette smoking and genetic determinants.  We have previously identified iron-responsive element binding protein 2 (IRP2) as a candidate COPD susceptibility gene based on genetic association studies, with IRP2 increased in the lungs of COPD patients. Here we demonstrate that mice deficient in IRP2 are protected from cigarette smoke (CS)-induced COPD. more..	Homo sapiens	6	GPL11154	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE57nnn/GSE57073/	EPITHELIUM	EMPHYSEMA_BRONCHITIS_COPD		NA	6	NO	IRP2
GSE71766	A Systems Approach to Understanding Human Rhinovirus and Influenza Virus Infection	(Submitter supplied) Human rhinovirus and influenza virus infections of the upper airway lead to colds and the flu and can trigger exacerbations of lower airway diseases including asthma and chronic obstructive pulmonary disease. Despite modest advances in the diagnosis and treatment of infections by these viruses, novel diagnostic and therapeutic targets are still needed to differentiate between the cold and the flu, since the clinical course of influenza can be severe while that of rhinovirus is usually more mild. more..	Homo sapiens	186	GPL13667	CEL	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE71nnn/GSE71766/	EPITHELIUM	COPD_ASTHMA	CONTROL	NA	186	YES: Rhinovirus_influenza	
GSE67472	Airway epithelial gene expression in asthma versus healthy controls	(Submitter supplied) Airway epithelial brushings were obtained for microarray analysis by research bronchoscopy in 62 subjects with mild-to-moderate asthma not on inhaled steroids and 43 healthy controls. Asthma subjects were stratified into 2 subgroups, Th2 high and Th2 low asthma, based on their expression of a three-gene signature of Type 2 inflammation: POSTN, SERPINB2, and CLCA1	Homo sapiens	105	GPL16311	CEL	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE67nnn/GSE67472/	EPITHELIUM	ASTHMA	CONTROL	NA	105	NO	
GSE19722	Airway Basal Cells of Healthy Smokers Express an Embryonic Stem Cell Signature Relevant to Lung Cancer	(Submitter supplied) Activation of the human embryonic stem cell (hESC)-signature genes has been observed in various epithelial cancers. In this study, we found that the hESC signature is selectively induced in the airway basal stem/progenitor cell population of healthy smokers (BC-S), with a pat-tern similar to that activated in all major types of human lung cancer. We further identified a subset of 6 BC-S hESC genes, whose coherent overexpression in lung AdCa was associated with reduced lung function, poorer differentiation grade, more advanced tumor stage, remarkably shorter survival and higher frequency of TP53 mutations. more..	Homo sapiens	64	GPL570	CEL, CHP	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE19nnn/GSE19722/	EPITHELIUM	CANCER	CONTROL	NA	64	NO	
GSE47718	Smoking Dysregulates the Human Airway Basal Cell Transcriptome at COPD-linked Risk Locus 19q13.2	(Submitter supplied) Rationale: Genome-wide association studies (GWAS) and candidate gene studies have identified a number of loci linked to susceptibility of chronic obstructive pulmonary disease (COPD), a smoking-related disorder that originates in the airway epithelium. Objectives: Since airway basal cell (BC) stem/progenitor cells exhibit the earliest abnormalities associated with smoking (hyperplasia, squamous metaplasia), we hypothesized that smoker BC have a dysregulated transcriptome linked, in part, to known GWAS/candidate gene loci. more..	Homo sapiens	17	GPL11154	FPKM_TRACKING	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE47nnn/GSE47718/	EPITHELIUM	COPD	NORMAL	NA	17	NO	
GSE56342	DNA Methylation is Globally Disrupted and Associated with Expression Changes in COPD Small Airways	(Submitter supplied) This SuperSeries is composed of the SubSeries listed below	Homo sapiens	NA	NA	CEL	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE56nnn/GSE56342/	EPITHELIUM	COPD	NORMAL	15	45	NO	
GSE56341	Gene expression profiles of COPD and nonCOPD small airway epithelia	(Submitter supplied) Gene expression profiles in this submission were part of an integrative DNA methylation and gene expression integrative study. The goal of this study was to determine whether DNA methylation patterns were disrupted in small airway epithelia of patients with Chronic Obstructive Pulmonary Disease (COPD) compared to airways from subjects with normal lung function. No subject has cancer or asthma at time of collection. more..	Homo sapiens	22	GPL6244	CEL	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE56nnn/GSE56341/	EPITHELIUM	COPD	NORMAL	8	14	NO	
GSE43939	Altered Expression of Intraflagellar Transport Genes is Associated with Short Cilia in Smoking and COPD	(Submitter supplied) Study Smoking and COPD are associated with decreased mucociliary clearance and healthy smokers have shorter cilia in the large airway than nonsmokers. Intraflagellar transport (IFT) is the process by which cilia are produced and maintained. We assessed expression of IFT-related genes in smokers and nonsmokers and evaluated cilia length in the large and small airway of nonsmokers, healthy smokers, and smokers with COPD. more..	Homo sapiens	149	GPL570	CEL, CHP	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE43nnn/GSE43939/	EPITHELIUM	COPD	NORMAL	NA	149	NO	
GSE37147	Bronchial airway gene expression reflects a COPD-associated field of injury that changes with disease severity and is reversible with therapy	(Submitter supplied) RNA was isolated from bronchial brushings obtained from current and former smokers with and without COPD. mRNA expression was profiled using Affymetrix Human Gene 1.0 ST Arrays	Homo sapiens	269	GPL13243	CEL	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE37nnn/GSE37147/	EPITHELIUM	COPD	NORMAL	238	31	NO	
GSE16696	Smoking is Associated with Shortened Airway Cilia	(Submitter supplied) Background: Whereas cilia damage and reduced cilia beat frequency have been implicated as causative of reduced mucociliary clearance in smokers, theoretically mucociliary clearance could also be affected by cilia length. Based on models of mucociliary clearance predicting cilia length must exceed the 6 -7 μm airway surface fluid depth to generate force in the mucus layer, we hypothesized cilia height may be decreased in airway epithelium of normal smokers compared to nonsmokers. more..	Homo sapiens	50	GPL570	CEL, CHP	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE16nnn/GSE16696/	EPITHELIUM		NORMAL	NA	50	NO	
GSE37693	Gene Expression Effects of IL-13 on Primary Human Airway Epithelial Cells	(Submitter supplied) Primary culture airway epithelial cells, grown under physiologic air-liquid interface conditions, with, or without IL-13 in order to study the effects of this cytokine on mucous cell metaplasia, an important feature of asthma and COPD. Keywords: IL13, mucus, goblet cell	Homo sapiens	8	GPL6947	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE37nnn/GSE37693/	EPITHELIUM	COPD	CONTROL	NA	8	YES: IL13	
GSE29133	Transcriptome in alveolar epithelial type II cells isolated from normal and COPD lungs of adult human	(Submitter supplied) Alveolar epithelial type II (ATII) cells play a critical role in homeostasis and repair process of the lungs. In lung diseases such as chronic obstructive pulmonary disease (COPD), ATII cells are damaged and fall into apoptosis or senescence. Until to date, global gene expression of ATII cells in COPD lungs has not been analyzed. We isolated ATII cells from three non-COPD and three COPD patients using a FACS method. more..	Homo sapiens	6	GPL570	CEL, CHP	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE29nnn/GSE29133/	EPITHELIUM	COPD	NORMAL	3	3	NO	
GSE30063	Epithelial Expression of Toll-like Receptor 5 is Modulated in Healthy Smokers and Smokers with Chronic Obstructive Lung Disease	(Submitter supplied) The toll-like receptors (TLRs) are important components of the respiratory epithelium host innate defense, enabling the airway surface to recognize and respond to a variety of insults in inhaled air. Based on the knowledge that smokers are more susceptible to pulmonary infection and the airway epithelium of smokers with chronic obstructive pulmonary disease (COPD) is characterized by bacterial colonization and acute exacerbation of airway infections, we assessed whether smoking alters the expression of TLRs in human small airway epithelium, the primary site of smoking-induced disease. more..	Homo sapiens	169	GPL570	CEL, CHP	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE30nnn/GSE30063/	EPITHELIUM	COPD	NORMAL	36	133	NO	
GSE11784	Biologic Phenotyping of the Human Small Airway Epithelial Response to Cigarette Smoking	(Submitter supplied) The first changes associated with smoking are in the small airway epithelium (SAE). Given that smoking alters SAE gene expression, but only a fraction of smokers develop chronic obstructive pulmonary disease (COPD), we hypothesized that assessment of SAE genome-wide gene expression would permit biologic phenotyping of the smoking response, and that a subset of healthy smokers would have a “COPD-like” SAE transcriptome. more..	Homo sapiens	171	GPL570	CEL, CHP	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE11nnn/GSE11784/	EPITHELIUM	COPD	NORMAL	22	149	NO	
GSE13931	Disparate Oxidant-related Gene Expression of Human Small Airway Epithelium Compared to Autologous Alveolar Macrophages	(Submitter supplied) Disparate Oxidant-related Gene Expression of Human Small Airway Epithelium Compared to Autologous Alveolar Macrophages in Response to the In Vivo Oxidant Stress of Cigarette Smoking The oxidant burden of cigarette smoking induces lung cell dysfunction, and play a significant role in the pathogenesis of lung disease. Two cell populations directly exposed to the oxidants in cigarette smoke are the small airway epithelium and alveolar macrophages. more..	Homo sapiens	98	GPL570	CEL, CHP	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE13nnn/GSE13931/	EPITHELIUM		CONTROL	NA	98	NO	
GSE20257	Smoking-induced Disarray of the Apical Junctional Complex Gene Expression Architecture in the Human Airway Epithelium	(Submitter supplied) The apical junctional complex (AJC), composed of tight junctions and adherens junctions, is essential for maintaining epithelial barrier function. Since cigarette smoking and chronic obstructive pulmonary disease (COPD), the major smoking-induced disease, are both associated with increased lung epithelial permeability, we hypothesized that smoking alters the transcriptional program regulating AJC integrity in the small airway epithelium (SAE), the primary site of pathological changes in COPD. more..	Homo sapiens	135	GPL570	CEL, CHP	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE20nnn/GSE20257/	EPITHELIUM	COPD	NORMAL	23	112	NO	
GSE19407	Smoking-induced Wnt pathway downregulation	(Submitter supplied) The Wnt pathway plays a central role in controlling differentiation of epithelial tissues; when Wnt is on, differentiation is suppressed, but when Wnt is off, differentiation is allowed to proceed. Based on this concept, we hypothesized that expression of key genes in the Wnt pathway are suppressed in the human airway epithelium under the stress of cigarette smoking, a stress associated with dysregulation of the differentiated state of the airway epithelium. more..	Homo sapiens	127	GPL570	CEL, CHP	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE19nnn/GSE19407/	EPITHELIUM	COPD	CONTROL	22	105	NO	
GSE19667	Threshold of Biologic Response of the Small Airway Epithelium to Low Levels of Tobacco Smoke	(Submitter supplied) Background: Healthy individuals exposed to low levels of cigarette smoke have a decrement in lung function and higher risk for lung disease compared to unexposed individuals. We hypothesized that healthy individuals exposed to low levels of tobacco smoke must have biologic changes in the small airway epithelium compared to healthy unexposed individuals.   Methods: Small airway epithelium was obtained by bronchoscopy from 121 individuals; microarrays assessed genome wide gene expression, and urine nicotine and cotinine were used to categorized subjects as “nonsmokers,” “active smokers,” and “low exposure.”  The gene expression data was used to determine the threshold and ID50 of urine nicotine and cotinine at which the small airway epithelium showed abnormal responses. more..	Homo sapiens	121	GPL570	CEL, CHP	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE19nnn/GSE19667/	EPITHELIUM		NORMAL	NA	121	NO	
GSE11906	Quality Control in Microarray Assessment of Gene Expression in Human Airway Epithelium	(Submitter supplied) Microarray technology provides a powerful tool for defining gene expression profiles of airway epithelium that lend insight into the pathogenesis of human airway disorders. The focus of this study was to establish rigorous quality control parameters to ensure that microarray assessment of the airway epithelium is not confounded by experimental artifact. Samples (total n=223) of trachea, large and small airway epithelium were collected by fiberoptic bronchoscopy of 144 individuals (42 healthy non-smokers, 49 healthy smokers, 11 symptomatic smokers, 22 smokers with lone emphysema with normal spirometry, and 20 smokers with COPD) were processed and hybridized to Affymetrix HG-U133 2.0 Plus microarrays. more..	Homo sapiens	223	GPL570	CEL, CHP	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE11nnn/GSE11906/	EPITHELIUM	EMPHYSEMA_COPD	CONTROL_NORMAL	33	190	NO	
GSE18637	Do Airway Epithelium Air-liquid Cultures Represent the In Vivo Airway Epithelium Transcriptome?	(Submitter supplied) Human airway epithelial cells cultured in vitro at air-liquid interface (ALI) form a pseudostratified epithelium that forms tight junctions and cilia, and produces mucin, and are widely used as a model of differentiation, injury, and repair. To assess how closely the transcriptome of ALI epithelium matches that of in vivo airway epithelial cells, we used microarrays to compare the transcriptome of human large airway epithelial cells cultured at ALI with the transcriptome of large airway epithelium obtained via bronchoscopy and brushing. more..	Homo sapiens	20	GPL570	CEL, CHP	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE18nnn/GSE18637/	EPITHELIUM		NA	NA	20	NO	
GSE12815	PI3K pathway activity in the normal airway of smokers with lung cancer, and in smokers with airway dysplasia	(Submitter supplied) Cytologically normal airway epithelial samples were collected during bronchoscopy of current and former smokers. Subjects enrolled in this study were either under suspicion of having lung cancer, had dysplasia in their airway, or were a healthy current, former or never smoker. We supplemented existing GEO series (GSE4115 and GSE7895) with the samples in this study to explore PI3K pathway activity in the these cohorts	Homo sapiens	71	NA	CEL	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE12nnn/GSE12815/	EPITHELIUM	COPD	NORMAL	2	69	NO	
GSE13933	Trachea Epithelium as a “ Canary” for Cigarette Smoking-induced Biologic Phenotype of Small Airway Epithelium	(Submitter supplied) The initial site of smoking-induced lung disease is the small airway epithelium, which is difficult and time consuming to sample by fiberoptic bronchoscopy. We developed a rapid, office-based procedure to obtain trachea epithelium without conscious sedation from healthy nonsmokers (n=26) and healthy smokers (n=19, 27 ± 15 pack-yr). Gene expression differences [fold-change >1.5, p< 0.01, Benjamini-Hochberg correction] were assessed with Affymetrix microarrays. more..	Homo sapiens	87	GPL570	CEL, CHP	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE13nnn/GSE13933/	EPITHELIUM		NORMAL	NA	87	NO	
GSE11952	Coordinate Control of Nrf2 Mediated Genes in the Human Small Airway Epithelium Highly Responsive to Smoking	(Submitter supplied) Nuclear factor erythroid 2-related factor 2 (NFE2L2, Nrf2) is an oxidant responsive transcription factor known to induce phase 2 detoxifying and antioxidant genes to protect cells from oxidative stress. Cigarette smoke, with its large oxidant content, is a major stressor to the small airway epithelium, the cells of which are vulnerable to oxidant damage and consequent malignant transformation. In this study, we assessed the role of cigarette smoke in activation of Nrf2 in the human small airway epithelium in vivo. more..	Homo sapiens	83	GPL570	CEL, CHP	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE11nnn/GSE11952/	EPITHELIUM		CONTROL	NA	83	NO	
GSE12472	A COPD-related gene expression signature in squamous cell lung cancer	(Submitter supplied) Chronic obstructive pulmonary disease (COPD) and squamous cell lung carcinoma (SCC) are both smoking-related diseases. Interestingly, COPD itself is a risk factor for SCC, and this is independent of smoking history. Inferring from this knowledge, it is plausible to assume that patients with COPD may have a different gene expression profile in normal bronchial epithelium and in SCC. To test this hypothesis, we compared gene expression profiles in bronchial epithelium and in SCC from patients with and without COPD. more..	Homo sapiens	63	GPL1708	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE12nnn/GSE12472/	EPITHELIUM	COPD	NORMAL	36	27	NO	
GSE10135	Cigarette Smoking Induces Overexpression of a Fat Depleting Gene AZGP1 in the Human Airway Epithelium	(Submitter supplied) Smokers weigh less and have less body fat than non-smokers, and increased body fat and weight gain are observed following smoking cessation. To assess a possible molecular mechanism underlying the inverse association between smoking and body weight, we hypothesized that smoking may induce the expression of a fat depleting gene in the airway epithelium, the cell population that takes the brunt of the stress of cigarette smoke. more..	Homo sapiens	NA	NA	CEL, CHP	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE10nnn/GSE10135/	EPITHELIUM		NORMAL	NA	92	NO	Gene AZGP1
GSE10006	Decreased Expression of Intelectin 1 in The Human Airway Epithelium of Smokers Compared to Nonsmokers	(Submitter supplied) Lectins are proteins present on cell surfaces or as shed extracellular proteins that function in innate immune defense as phagocytic receptors to recognize specific bacterial cell wall components. Based on the knowledge that cigarette smoking is associated with increased risk of bacterial infection, we hypothesized that cigarette smoking may modulate the expression of lectin genes in the airway epithelium. more..	Homo sapiens	87	GPL570	CEL, CHP	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE10nnn/GSE10006/	EPITHELIUM	COPD	NORMAL	27	60	NO	
GSE7832	Down-regulation of the Notch Differentiation Pathway in the Airway Epithelium of Normal Smokers and Smokers with COPD	(Submitter supplied) Down-regulation of the Notch Differentiation Pathway in the Human Airway Epithelium in Normal Smokers and Smokers with Chronic Obstructive Lung Disease  In cigarette smokers, the toxic components of smoke place the epithelium under the constant stress of a variety of mechanisms of injury, with consequent modulation of airway epithelial regeneration and disordered differentiation. Based on the underlying hypothesis that these airway epithelial changes must involve quantitative changes in genes involved with the regulation of differentiation, we assessed the expression of the Notch pathway, a signaling pathway known to play a fundamental role in the embryonic lung as a gatekeeper for differentiation, in the small airway epithelium of non-smokers, normal smokers, and smokers with COPD. more..	Homo sapiens	20	GPL570	CEL, CHP	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE7nnn/GSE7832/	EPITHELIUM	COPD	NORMAL	NA	20	NO	Smokers
GSE12428	Current smoking-specific gene expression signature in bronchial epithelium is enhanced in squamous cell lung cancer	(Submitter supplied) Cigarette smoking is the main risk factor for the development of squamous cell lung carcinoma (SCC). However, the smoking-related molecular changes in SCC have not been studied. We wanted to identify genes in both histologically normal bronchial epithelium and SCC samples that are differentially expressed between current and ex-smokers. In addition, to analyze the levels of the smoking-related genes identified in normal bronchial epithelium with the levels in SCC. more..	Homo sapiens	62	GPL1708	PDF, TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE12nnn/GSE12428/	EPITHELIUM	LUNG CANCER	NORMAL	NA	62	NO	
GSE8545	Variability in Small Airway Epithelial Gene Expression Among Normal Smokers	(Submitter supplied) Despite overwhelming data that cigarette smoking causes chronic obstructive pulmonary disease (COPD), only a minority of chronic smokers are affected, strongly suggesting that genetic factors modify susceptibility to this disease. We hypothesized that there are individual variations in the response to cigarette smoking, with variability among smokers in expression levels of protective / susceptibility genes. more..	Homo sapiens	54	GPL570	CEL, CHP	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE8nnn/GSE8545/	EPITHELIUM	COPD	NORMAL	18	36	NO	Smokers
GSE7557	Human bronchial epithelial cells_Passage 3 vs. passage 0	(Submitter supplied) Squamous metaplasia is common in smokers and is associated with airway obstruction in chronic obstructive pulmonary disease (COPD). A major mechanism of airway obstruction in COPD is thickening of the small airway walls. We asked whether squamous metaplasia actively contributes to airway wall thickening through alteration of epithelial-mesenchymal interactions in COPD. Using immunohistochemical staining, airway morphometry and fibroblast culture of lung samples from COPD patients, genome-wide analysis of a model of squamous metaplasia, and in vitro modeling of human airway epithelial-mesenchymal interactions, we have produced evidence that squamous metaplasia, through the increased secretion of IL-1, induces a fibrotic response of adjacent airway fibroblasts. more..	Homo sapiens	3	GPL5102	NA	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE7nnn/GSE7557/	EPITHELIUM	COPD	NA	NA	3	NO	
GSE5060	Airway epithelium, large and small airways, phenotypically normal smokers, non-smokers, early COPD and COPD	(Submitter supplied) This SuperSeries is composed of the SubSeries listed below	Homo sapiens	NA	NA	CEL, CHP, EXP	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE5nnn/GSE5060/	EPITHELIUM	COPD	NORMAL	15	108	NO	
